1976,7.4,4.8,18.7,32.2,44.4,57.1,61.6,60.6,49.3,31.2,25,12,33.69166667
1977,23,21.6,15,27.4,44.4,58.2,64.2,64,49.1,32.4,11,6.2,34.70833333
1978,18.8,17.3,22.9,35.2,48.5,54.3,61.9,61.3,49.8,29.8,23.6,17.1,36.70833333
1979,16.2,1.8,21.7,33.6,50,56.7,61.7,60.8,50.1,36.6,28.4,4.2,35.15
1980,6.4,20.8,23.8,34.5,48,56,60.7,55.9,45.6,34.1,21.5,-1.4,33.825
1981,26.5,16.3,29.7,33.8,52.3,57.8,57.5,56.4,45.6,31.7,19.6,10.8,36.5
1982,5.6,12.9,20.8,27.7,43,57.2,60.7,57.6,47.5,25.2,17.1,15.2,32.54166667
1983,5.8,14.4,22.2,34.7,47.9,59.3,61.9,54.5,43.9,27.3,22.3,15.4,34.13333333
1984,9.8,0,25.8,28.5,45.3,59.8,59.6,55.3,50.6,32,14.5,13.7,32.90833333
1985,24.6,7.4,21.6,22.4,44.2,55,62.4,56.6,45.9,26.4,15.8,23.5,33.81666667
1986,11.9,18.5,17.8,26.5,45.6,59.2,61.8,54.8,48.7,32.3,17.1,21.4,34.63333333
1987,15.5,15.8,23,31.9,46.8,57.4,61.9,59.8,45.2,35.9,17.4,11,35.13333333
1988,14,16.6,22.2,33,48.1,58.7,63.3,56.9,47.3,26.8,11.2,16.5,34.55
1989,-5,23.1,21,36.9,44.9,58.3,62.8,60,50,31.7,10.1,17.6,34.28333333
1990,5.2,-2.2,25.1,38.9,51.3,59.7,64.5,60.2,46.3,29.7,11.5,9.8,33.33333333
1991,11.2,12.1,21.1,35.6,49.2,60.6,60.6,56.7,50.1,32.8,15.9,9.9,34.65
1992,12.2,7.5,21.3,31.4,42.4,59.8,63.3,56.5,38.3,27.4,20.1,10.4,32.55
1993,10.3,18.1,25.4,39.1,51.4,60.8,65.9,57.1,46,35.3,22.2,17.7,37.44166667
1994,13.1,11.5,17,33.9,48.9,58.2,62.9,59.4,46.8,28.6,13.9,9.8,33.66666667
1995,11.5,16.1,16,38.1,51.4,58.3,61.7,57.1,52.6,32.8,15.1,10.9,35.13333333
1996,4,12.5,27.2,33.2,50.2,58.6,61.8,54.9,44.6,24.9,17.7,7.5,33.09166667
1997,6.7,21.7,17.4,37.1,50.4,61.9,64,59.2,51.7,27.2,24.1,10.6,36
1998,7,17.7,28.8,38.2,47,58.1,62.9,54.1,48.2,33.9,20.7,10.5,35.59166667
1999,4.4,4.3,18.4,32.1,45.9,60,61.3,58.9,49.1,28.5,14.2,4.5,31.8
2000,7.5,23,24.8,33.6,43.6,60.8,59.4,54.3,44.9,31.3,23.6,20.4,35.6
2001,21.6,22.3,19.9,33.3,41.1,60.5,59.1,57.8,50.2,27.7,16,7.6,34.75833333
2002,16.1,16,24.9,30.8,50.5,59.3,62,57.4,49.3,37.4,29.2,18.6,37.625
2003,17.1,22.2,20,37,46.8,60.2,61.9,58.5,46.9,37.7,21.1,11.3,36.725
2004,6.8,17,18.8,37,51.6,64.9,66.2,64.9,44.9,34.8,22.7,15.4,37.08333333
2005,13.4,15.7,26.2,34.7,53.2,62.2,63.1,60.9,48.4,33.1,11,19.8,36.80833333
2006,1.4,20.5,16.9,29.2,49,57.3,60.9,55.2,51.6,36.9,12.6,14.3,33.81666667
2007,12.1,13.9,9.4,38.6,48.4,60.1,63.9,62,49.8,30.8,25.2,14.2,35.7
2008,7.5,10,20.5,31.4,47.5,57.1,58.8,56.6,48.2,26,15.9,12.6,32.675
2009,6.7,14,15.1,33,50.1,58.6,65.6,56.7,48.9,36,13.9,16.3,34.575
2010,7.5,18,19.2,35.4,51,57.7,59.1,58.6,51.4,33.7,23.2,3.6,34.86666667
2011,13.9,14.7,22.3,32.3,49.6,57.5,59.6,56.1,49.1,34.2,10.3,15.9,34.625
2012,-5.4,19.4,13.6,36.5,45.6,59.3,59.3,57.3,46.7,32,12,5.8,31.84166667
2013,15.8,13.4,20.2,26.5,44.6,64.4,63.4,59,45.4,39.2,20.5,13.2,35.46666667
2014,24,14.4,24.3,36.9,51.2,56.3,60.6,59.7,49.9,31.5,25,20.1,37.825
2015,13.5,19.8,24.8,36.3,54.2,61.8,62.3,56.5,45,36.8,23.3,14.3,37.38333333
2016,23,24.2,26.7,42,52.9,60.9,63.3,60.5,49.7,37.3,19.1,12.2,39.31666667
2017,11.8,14.6,15.2,38.6,49.7,60.3,64.4,57.1,49,35.6,22,24.8,36.925
2018,12.9,19.8,26.2,34.9,47,58.4,64.2,55.7,52,40,24.5,15.4,37.58333333
