status, species, listing name, link, spcode
T,"Bush-clover, prairie","Lespedeza leptostachya",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2CB,Q2CB
E,"Lily, Minnesota dwarf trout","Erythronium propullans",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2A1,Q2A1
T,"Orchid, western prairie fringed","Platanthera praeclara",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2YD,Q2YD
T,"roseroot, Leedy's","Rhodiola integrifolia ssp. leedyi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q392,Q392
