status, species, listing name, link, spcode
E,"Abalone, White","Haliotis sorenseni",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G0C8,G0C8
E,"Albatross, short-tailed","Phoebastria (=Diomedea) albatrus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B00Y,B00Y
E,"Beetle, Casey's June","Dinacoma caseyi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0TG,I0TG
T,"Beetle, delta green ground","Elaphrus viridis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I01G,I01G
E,"Beetle, Mount Hermon June","Polyphylla barbata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0OV,I0OV
T,"Beetle, valley elderberry longhorn","Desmocerus californicus dimorphus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I01L,I01L
T,"Butterfly, bay checkerspot","Euphydryas editha bayensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I021,I021
E,"Butterfly, Behren's silverspot","Speyeria zerene behrensii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I031,I031
E,"Butterfly, callippe silverspot","Speyeria callippe callippe",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I019,I019
E,"Butterfly, El Segundo blue","Euphilotes battoides allyni",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00C,I00C
E,"Butterfly, Lange's metalmark","Apodemia mormo langei",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00H,I00H
E,"Butterfly, lotis blue","Lycaeides argyrognomon lotis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00I,I00I
E,"Butterfly, mission blue","Icaricia icarioides missionensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00J,I00J
E,"Butterfly, Myrtle's silverspot","Speyeria zerene myrtleae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00N,I00N
T,"Butterfly, Oregon silverspot","Speyeria zerene hippolyta",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I01A,I01A
E,"Butterfly, Palos Verdes blue","Glaucopsyche lygdamus palosverdesensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I01B,I01B
E,"Butterfly, Quino checkerspot","Euphydryas editha quino (=E. e. wrighti)",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00P,I00P
E,"Butterfly, San Bruno elfin","Callophrys mossii bayensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00Q,I00Q
E,"Butterfly, Smith's blue","Euphilotes enoptes smithi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I00R,I00R
E,"Chub, bonytail","Gila elegans",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E020,E020
E,"Chub, Owens Tui","Gila bicolor ssp. snyderi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E02W,E02W
