status, species, listing name, link, spcode
T,"Daisy, Lakeside","Hymenoxys herbacea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2U6,Q2U6
T,"Fern, American hart's-tongue","Asplenium scolopendrium var. americanum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=S00O,S00O
T,"Goldenrod, Houghton's","Solidago houghtonii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2J5,Q2J5
T,"Iris, dwarf lake","Iris lacustris",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2BS,Q2BS
E,"monkey-flower, Michigan","Mimulus michiganensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2DN,Q2DN
T,"Orchid, eastern prairie fringed","Platanthera leucophaea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2GG,Q2GG
T,"Pogonia, small whorled","Isotria medeoloides",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1XL,Q1XL
T,"Thistle, Pitcher's","Cirsium pitcheri",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q276,Q276
