status, species, listing name, link, spcode
T,"Bush-clover, prairie","Lespedeza leptostachya",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2CB,Q2CB
T,"Milkweed, Mead's","Asclepias meadii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1T6,Q1T6
T,"Monkshood, northern wild","Aconitum noveboracense",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1SN,Q1SN
T,"Orchid, eastern prairie fringed","Platanthera leucophaea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2GG,Q2GG
T,"Orchid, western prairie fringed","Platanthera praeclara",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2YD,Q2YD
