status, species, listing name, link, spcode
T,"Amaranth, seabeach","Amaranthus pumilus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2MZ,Q2MZ
E,"Dropwort, Canby's","Oxypolis canbyi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2EL,Q2EL
T,"Joint-vetch, Sensitive","Aeschynomene virginica",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q24J,Q24J
T,"Pink, swamp","Helonias bullata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2B8,Q2B8
T,"Pogonia, small whorled","Isotria medeoloides",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1XL,Q1XL
