status, species, listing name, link, spcode
T,"Bush-clover, prairie","Lespedeza leptostachya",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2CB,Q2CB
T,"Iris, dwarf lake","Iris lacustris",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2BS,Q2BS
T,"Locoweed, Fassett's","Oxytropis campestris var. chartacea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2EM,Q2EM
T,"Milkweed, Mead's","Asclepias meadii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1T6,Q1T6
T,"Monkshood, northern wild","Aconitum noveboracense",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1SN,Q1SN
T,"Orchid, eastern prairie fringed","Platanthera leucophaea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2GG,Q2GG
T,"Thistle, Pitcher's","Cirsium pitcheri",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q276,Q276
