status, species, listing name, link, spcode
E,"Clover, running buffalo","Trifolium stoloniferum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2RE,Q2RE
T,"Daisy, Lakeside","Hymenoxys herbacea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2U6,Q2U6
T,"Monkshood, northern wild","Aconitum noveboracense",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1SN,Q1SN
T,"Orchid, eastern prairie fringed","Platanthera leucophaea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2GG,Q2GG
T,"Pogonia, small whorled","Isotria medeoloides",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1XL,Q1XL
T,"Spiraea, Virginia","Spiraea virginiana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2R1,Q2R1
