status, species, listing name, link, spcode
E,"Bladderpod, Short's","Physaria globosa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q139,Q139
E,"Clover, running buffalo","Trifolium stoloniferum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2RE,Q2RE
E,"Goldenrod, Short's","Solidago shortii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q21U,Q21U
T,"Milkweed, Mead's","Asclepias meadii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1T6,Q1T6
T,"Orchid, eastern prairie fringed","Platanthera leucophaea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2GG,Q2GG
T,"Thistle, Pitcher's","Cirsium pitcheri",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q276,Q276
