0040271895  47.40  56.10  58.20  65.60  74.30  84.10  86.40  86.60  79.40  72.70  59.50  50.70   
0040271896  53.90  59.40  60.20  59.60  71.30  86.10  89.60  87.20  79.70  72.90  57.00  54.50   
0040271897  49.80  50.40  52.30  69.60  77.40  81.50  89.10  89.50  80.30  67.00  59.40  52.00   
0040271898  46.60  57.40  57.70  70.50  70.60  83.70  89.90  89.80  82.40  72.40  60.80  51.50   
0040271899  52.70  56.00  57.90  67.90  69.50  83.50  90.90  83.60  87.30  67.30  60.10  51.70   
0040271900  54.10  58.50  65.20  62.50  75.50  84.60  90.40  84.30  77.80  69.30  62.50  54.60   
0040271901  50.40  54.00  62.00  64.80  71.80  82.90  90.50  89.80  79.50  74.00  63.30  56.50   
0040271902  52.00  55.60  56.40  64.60  71.60  85.00  87.90  86.90  84.50  71.10  56.80  51.70   
0040271903  51.70  48.90  56.70  63.40  74.10  83.80  87.10  88.90  81.40  75.60  61.30  54.70   
0040271904  52.90  54.70  56.40  65.70  76.60  84.80  87.70  89.20  82.10  70.50  63.90  53.60   
0040271905  54.60  56.30  60.20  66.00  68.70  81.20  91.10  89.60  83.40  73.60  59.80  51.40   
0040271906  54.00  57.50  57.60  64.10  68.30  78.80  93.10  88.40  82.60  75.20  58.00  50.50   
0040271907  47.10  59.50  54.60  66.50  71.40  77.80  87.80  85.60  79.60  70.60  61.90  53.80   
0040271908  52.70  52.40  61.10  69.40  69.20  79.90  92.10  88.00  81.80  69.20  62.00  50.00   
0040271909  52.20  51.40  55.40  68.20  72.10  82.20  87.40  88.60  81.60  70.70  58.70  48.00   
0040271910  47.50  52.90  64.20  70.90  79.00  82.30  90.60  90.00  82.10  73.30  60.70  55.10   
0040271911  51.90  49.60  60.00  63.30  70.40  81.60  90.30  87.50  78.20  71.20  61.10  51.00   
0040271912  53.90  58.80  54.80  59.90  72.50  81.70  86.00  85.60  79.70  67.10  61.30  52.80   
0040271913  48.70  54.20  58.60  66.00  74.40  78.40  87.20  89.40  85.00  74.80  59.10  51.40   
0040271914  52.00  55.90  65.50  66.00  74.30  80.90  88.70  89.10  80.40  71.40  65.50  47.60   
0040271915  50.20  52.10  62.20  65.20  67.90  83.00  88.00  91.20  81.20  76.60  59.90  52.60   
0040271916  44.80  57.70  63.10  69.00  71.60  81.60  88.00  86.60  81.60  65.70  58.80  49.30   
0040271917  46.50  53.60  56.20  63.80  67.60  86.00  92.60  89.00  83.70  78.20  63.60  58.70   
0040271918  53.90  53.60  58.90  67.30  70.90  89.70  88.30  87.40  80.50  73.00  58.10  50.90   
0040271919  54.40  50.50  56.10  68.00  76.30  84.50  90.40  89.80  81.20  68.50  60.40  52.20   
0040271920  55.50  56.60  56.80  64.40  75.30  81.70  89.00  89.60  80.20  66.40  58.20  51.10   
