1895,47.40,56.10,58.20,65.60,74.30,84.10,86.40,86.60,79.40,72.70,59.50,50.70
1896,53.90,59.40,60.20,59.60,71.30,86.10,89.60,87.20,79.70,72.90,57.00,54.50
1897,49.80,50.40,52.30,69.60,77.40,81.50,89.10,89.50,80.30,67.00,59.40,52.00
1898,46.60,57.40,57.70,70.50,70.60,83.70,89.90,89.80,82.40,72.40,60.80,51.50
1899,52.70,56.00,57.90,67.90,69.50,83.50,90.90,83.60,87.30,67.30,60.10,51.70
1900,54.10,58.50,65.20,62.50,75.50,84.60,90.40,84.30,77.80,69.30,62.50,54.60
1901,50.40,54.00,62.00,64.80,71.80,82.90,90.50,89.80,79.50,74.00,63.30,56.50
1902,52.00,55.60,56.40,64.60,71.60,85.00,87.90,86.90,84.50,71.10,56.80,51.70
1903,51.70,48.90,56.70,63.40,74.10,83.80,87.10,88.90,81.40,75.60,61.30,54.70
1904,52.90,54.70,56.40,65.70,76.60,84.80,87.70,89.20,82.10,70.50,63.90,53.60
1905,54.60,56.30,60.20,66.00,68.70,81.20,91.10,89.60,83.40,73.60,59.80,51.40
1906,54.00,57.50,57.60,64.10,68.30,78.80,93.10,88.40,82.60,75.20,58.00,50.50
1907,47.10,59.50,54.60,66.50,71.40,77.80,87.80,85.60,79.60,70.60,61.90,53.80
1908,52.70,52.40,61.10,69.40,69.20,79.90,92.10,88.00,81.80,69.20,62.00,50.00
1909,52.20,51.40,55.40,68.20,72.10,82.20,87.40,88.60,81.60,70.70,58.70,48.00
1910,47.50,52.90,64.20,70.90,79.00,82.30,90.60,90.00,82.10,73.30,60.70,55.10
1911,51.90,49.60,60.00,63.30,70.40,81.60,90.30,87.50,78.20,71.20,61.10,51.00
1912,53.90,58.80,54.80,59.90,72.50,81.70,86.00,85.60,79.70,67.10,61.30,52.80
1913,48.70,54.20,58.60,66.00,74.40,78.40,87.20,89.40,85.00,74.80,59.10,51.40
1914,52.00,55.90,65.50,66.00,74.30,80.90,88.70,89.10,80.40,71.40,65.50,47.60
1915,50.20,52.10,62.20,65.20,67.90,83.00,88.00,91.20,81.20,76.60,59.90,52.60
1916,44.80,57.70,63.10,69.00,71.60,81.60,88.00,86.60,81.60,65.70,58.80,49.30
1917,46.50,53.60,56.20,63.80,67.60,86.00,92.60,89.00,83.70,78.20,63.60,58.70
1918,53.90,53.60,58.90,67.30,70.90,89.70,88.30,87.40,80.50,73.00,58.10,50.90
1919,54.40,50.50,56.10,68.00,76.30,84.50,90.40,89.80,81.20,68.50,60.40,52.20
1920,55.50,56.60,56.80,64.40,75.30,81.70,89.00,89.60,80.20,66.40,58.20,51.10
1921,50.00,57.00,61.60,65.80,69.20,83.50,91.20,88.10,82.40,74.20,63.90,54.20
1922,47.60,50.10,55.40,63.30,75.70,84.70,91.50,87.90,87.80,71.10,57.20,52.20
1923,51.80,55.40,62.90,62.80,75.00,77.10,88.80,87.60,82.50,70.40,64.40,51.80
1924,53.10,62.10,57.70,67.90,80.20,86.20,89.80,88.80,84.40,68.20,61.50,49.40
1925,53.40,57.30,62.60,65.50,74.10,83.20,91.40,86.70,77.80,70.00,59.30,55.30
1926,52.80,57.40,66.30,68.60,76.20,88.20,91.70,89.30,81.20,74.60,65.00,50.90
1927,53.10,54.20,58.60,65.60,74.10,82.60,91.40,87.70,79.30,74.20,61.20,51.00
1928,54.10,57.70,62.60,66.70,78.40,83.30,90.40,89.70,85.20,71.70,60.10,50.90
1929,49.60,53.50,60.40,61.90,76.90,82.30,90.20,91.40,82.30,76.20,67.00,59.00
1930,48.30,60.30,62.00,68.70,69.20,84.90,90.50,88.60,78.60,72.40,63.00,54.10
1931,53.60,56.40,64.30,71.20,79.80,81.30,95.60,91.10,81.10,72.20,56.90,48.60
1932,47.90,52.70,62.50,65.70,73.30,84.20,89.20,89.20,87.30,73.10,66.50,48.20
1933,47.50,51.40,60.30,65.90,67.70,82.00,93.40,90.70,81.80,78.70,66.10,53.30
1934,55.70,58.40,70.60,74.20,78.60,79.80,90.60,90.50,84.90,73.10,60.60,53.60
1935,50.40,55.50,55.40,64.40,73.40,86.60,88.60,90.10,85.60,70.80,58.50,54.40
1936,54.40,53.40,63.80,69.60,77.40,83.80,91.40,90.90,85.10,74.40,65.20,52.30
1937,40.90,51.80,58.70,65.00,77.40,82.70,91.50,91.20,85.20,74.80,62.20,56.50
1938,54.30,52.00,54.40,65.30,75.00,84.00,90.30,89.10,85.20,70.20,59.40,55.40
1939,52.70,50.90,60.70,72.40,76.30,83.90,91.10,91.30,82.70,73.10,65.80,58.10
1940,53.30,54.80,63.10,67.70,78.80,87.90,89.30,90.70,79.80,73.40,59.40,55.60
1941,52.60,55.70,61.30,62.30,74.80,79.80,90.40,85.00,79.80,68.70,62.80,52.00
1942,52.40,53.10,60.50,63.60,71.00,82.50,91.90,89.60,83.10,74.40,61.80,54.40
1943,53.60,58.00,60.50,67.50,76.50,78.70,89.80,87.40,87.30,72.40,63.60,53.20
1944,51.80,51.70,60.50,62.60,74.00,77.00,88.00,89.70,85.60,75.00,55.80,54.60
1945,52.50,55.40,54.90,67.80,71.90,82.00,92.10,88.50,85.00,73.10,58.60,51.40
1946,53.10,53.80,59.40,69.90,74.50,82.50,89.30,90.10,84.10,68.10,56.40,52.90
1947,51.80,59.50,62.90,69.30,79.50,81.20,88.50,86.50,86.80,71.10,57.30,52.00
1948,58.20,53.60,55.50,62.30,71.10,81.00,88.20,87.70,83.60,72.40,60.40,47.90
1949,42.10,49.90,55.80,71.30,73.20,84.70,89.60,86.80,85.60,71.60,68.20,51.80
1950,47.00,57.80,60.00,69.90,75.20,81.80,90.80,90.70,81.40,74.50,64.40,57.40
1951,51.30,54.80,60.70,67.40,74.80,83.50,90.30,88.50,86.40,71.70,59.80,49.40
1952,46.80,54.20,53.20,66.70,77.50,77.90,90.50,89.70,85.60,78.60,58.40,50.00
1953,56.40,58.00,60.70,65.00,67.50,78.30,91.80,86.40,86.30,72.80,61.40,55.10
1954,52.00,60.80,56.50,70.40,78.30,80.50,91.10,85.00,83.00,74.10,62.70,51.00
1955,47.00,53.20,60.80,61.70,73.00,81.90,86.50,90.80,85.00,75.30,59.70,53.00
1956,52.40,51.70,62.40,65.10,73.60,83.80,88.90,86.80,85.80,69.60,64.10,56.50
1957,47.90,57.30,59.80,66.10,70.50,86.40,90.00,87.50,84.00,66.90,57.80,54.20
1958,53.80,56.70,53.80,65.10,78.00,81.30,88.90,91.60,85.20,78.00,62.50,60.90
1959,55.50,53.30,65.40,73.00,72.50,86.30,93.90,88.80,80.60,76.10,66.50,55.90
1960,49.10,53.80,63.50,67.40,73.70,88.80,92.90,89.80,86.40,72.60,58.10,53.40
1961,55.60,58.00,59.10,69.10,71.20,87.50,92.40,89.30,81.30,73.00,59.00,51.00
1962,52.50,52.00,55.50,72.60,70.60,83.40,89.40,89.30,84.60,72.20,63.30,56.20
1963,52.30,62.20,58.30,59.20,73.40,79.00,87.60,87.50,84.40,72.40,58.50,53.40
1964,51.00,57.20,58.00,65.50,71.20,79.80,89.80,88.80,82.20,77.90,55.70,52.90
1965,52.50,57.60,59.60,62.80,72.70,78.10,88.20,87.50,78.80,78.60,59.50,49.40
1966,50.90,52.50,62.00,72.00,78.00,83.20,88.00,91.00,83.50,74.60,60.80,52.20
1967,53.50,58.60,58.50,54.20,74.50,79.40,91.70,93.00,84.20,76.00,64.20,49.40
1968,52.30,59.50,62.20,67.50,74.10,84.90,90.20,84.30,84.20,72.40,59.20,49.30
1969,50.60,49.40,58.70,65.70,77.60,79.10,90.00,92.20,85.40,68.90,63.20,55.10
1970,53.20,59.30,60.80,62.80,77.10,83.50,91.70,90.60,83.60,71.30,60.90,49.00
1971,52.80,56.50,59.80,64.10,69.10,80.70,90.60,90.60,83.10,69.30,59.30,47.40
1972,50.30,58.20,67.50,66.50,76.40,84.10,91.80,88.60,80.10,67.80,55.70,48.00
